struct_id,struct_name,range_type,il2cpp_methods
10174,commInt64UChar,RECV,
10175,eventTriggerClient,RECV,
10176,eventTriggerServer,RECV,
10178,clientDataStruct,RECV,
10179,xzfamilyStruct,RECV,
10180,qiyuSysListItem,RECV,
10181,monijySF,RECV,
10182,friendData,RECV,
10183,guildMemberItem,RECV,
10184,guildInfoItem,RECV,
10185,guildListItem,RECV,
10186,memberListItem,RECV,
10187,guildDetailItem,RECV,
10188,applyListItem,RECV,
10189,inviteListItem,RECV,
10190,logListItem,RECV,
10191,shopListItem,RECV,
10192,commProfitData,RECV,
10193,shopProfitStruct,RECV,
10194,dispatchData,RECV,
10195,secretSceneFightEntity,RECV,
10196,secretSceneKillEntity,RECV,
10197,secretSceneEntity2,RECV,
10198,petBuildData,RECV,
10199,petBaseData,RECV,
10200,gridEntityInfo2,RECV,
10201,petJJData,RECV,
10202,qiyuFightEntity,RECV,
10203,secretScenePickItem,RECV,
10204,secretSceneFakeItem,RECV,
10205,commInt64UIntUShort,RECV,
10206,commInt64UCharUInt,RECV,
10207,npcItem,RECV,
10208,npcDataStruct,RECV,
10209,npcDataStructWorld,RECV,
10210,npcDataStructSf,RECV,
10211,clientNPC,RECV,
10212,serverNPC,RECV,
10213,commonNPC1,RECV,
10216,serverNPC2,RECV,
10217,clientNPC3,RECV,
10221,commonNPC5,RECV,
10223,clientNPC6,RECV,
10225,clientFight14,RECV,
10226,serverFight14,RECV,
10227,petBornData,RECV,
10228,shopBuyItem,RECV,
10229,effectDataStructNPC,RECV,
10233,achieveData,RECV,
10234,saleInfo,RECV,
10235,clientFight15,RECV,
10236,serverFight15,RECV,
10240,yuekaItem,RECV,
10241,tongGuanItem,RECV,
10242,guanqiaInvest,RECV,
10243,commUCharUShort,RECV,
10244,traintowerRecord,RECV,
10245,specialityType5,RECV,
10246,specialityListType5,RECV,
10247,specialityStructType5,RECV,
10248,xtzmInfo,RECV,
10249,offlineRecordUCharUCharInt,RECV,
10250,qiandao7day,RECV,
10251,qiyuEndItem,RECV,
10252,qiyuEndItem1,RECV,
10253,qiyuEndItem2,RECV,
10254,qiyuEndItem3,RECV,
10255,produceItem,RECV,
10256,monItem,RECV,
10257,monItem2,RECV,
10258,worldRandomData2,RECV,
10259,commInt64UInt,RECV,
10260,zongmenTaskItem,RECV,
10261,firstRecharge,RECV,
10262,ltgItem,RECV,
10263,liuyanMsgItem,RECV,
10264,xianwulouRecord,RECV,
10265,zxlData,RECV,
10266,zxlData2,RECV,
10267,qidayTask,RECV,
10268,qidayTaskItem,RECV,
10269,qidayLiBaoItem,RECV,
10270,commInt64UIntUInt,RECV,
10271,monijyAreaStruct2,RECV,
10272,monijyBuildStruct2,RECV,
10273,monijySF2,RECV,
10275,produceItem2,RECV,
10276,buildProduce,RECV,
10277,buildProduce2,RECV,
10278,auctionStruct,RECV,
10279,auctionRecord,RECV,
10280,skyshouchaoshouling,RECV,
10281,skyscRankItem1,RECV,
10282,skyscRankItem2,RECV,
10283,clientFight16,RECV,
10284,serverFight16,RECV,
10285,activityInfo,RECV,
10286,commUCharUShortUInt,RECV,
10287,fairyTaskData,RECV,
10288,commUIntUShortUChar,RECV,
10289,targetTask,RECV,
10290,commStringInt64,RECV,
10291,commonFight13,RECV,
10292,commUIntUShort,RECV,
10293,effectDataStructWorldBoss,RECV,
10294,qidayUpdateItem,RECV,
10295,guildInvest,RECV,
10296,clientFight18,RECV,
10297,serverFight18,RECV,
10298,zhuyaoActRankItem,RECV,
10299,effectDataStructLDDH,RECV,
10300,ouqiRank,RECV,
10301,effectDataStructXGYJ,RECV,
10302,xianshiActInfo,RECV,
10303,lastestChatMsg,RECV,
10304,lastestChatStruct,RECV,
10305,effectDataStructItemList,RECV,
10306,zmRandItem,RECV,
10307,commUIntUChar,RECV,
10308,lundaodahuiPlayer,RECV,
10309,lundaodahuiFight,RECV,
10310,lundaodahuiGroup,RECV,
10311,lundaodahuiSanJiaItem,RECV,
10312,lundaodahuiSanJia,RECV,
10313,lundaodahuiRank,RECV,
10314,effectDataStructUDI,RECV,
10315,npcInfo,RECV,
10316,monijyAreaStruct3,RECV,
10317,monijyBuildStruct3,RECV,
10318,monijySF3,RECV,
10319,lundaodahuiSanJiaItem2,RECV,
10320,effectDataStructNPC2,RECV,
10321,statueItem,RECV,
10322,itemDataStructHonorItem,RECV,
10323,repairGatherStruct,RECV,
10324,normalGatherStruct,RECV,
10326,bigShengChanRankItem,RECV,
10327,bigShengChanFullGoalItem,RECV,
10328,chatFlag,RECV,
10329,clientGrid,RECV,
10330,speItem,RECV,
10331,flfData,RECV,
10332,effectDataStructSfRandItem,RECV,
10333,wdltTiMu,RECV,
10334,wdltItem,RECV,
10335,commUShortInt,RECV,
10336,commUIntUShortString,RECV,
10337,commInt64Short,RECV,
10338,guanqiaInvest2,RECV,
10339,clientFight19,RECV,
10340,serverFight19,RECV,
10341,zmdbRankItem,RECV,
10342,zmdbRecordItem,RECV,
10343,zmdbRankData,RECV,
10344,clientFight20,RECV,
10345,serverFight20,RECV,
10346,zmdbMatchItem,RECV,
10347,bigShengChanRankItem2,RECV,
10349,arrangeDisciple,RECV,
10350,detailDisciple,RECV,
10351,clientTeam,RECV,
10352,serverTeam,RECV,
10354,serverTeam1,RECV,
10356,serverTeam2,RECV,
10358,serverTeam3,RECV,
10360,serverTeam4,RECV,
10362,serverTeam5,RECV,
10363,clientTeam6,RECV,
10364,serverTeam6,RECV,
10365,clientTeam7,RECV,
10366,serverTeam7,RECV,
10367,lundaodahuiGuessItem,RECV,
10369,clientTeam8,RECV,
10370,serverTeam8,RECV,
10371,clientTeam9,RECV,
10372,serverTeam9,RECV,
10373,jcylPassInfo,RECV,
10374,jcylLimitInfo,RECV,
10375,tdsFruitInfo,RECV,
10376,tdsStageInfo,RECV,
10377,tdsVocInfo,RECV,
10378,commUCharUCharUChar,RECV,
10379,zmdbTaskItem,RECV,
10380,fightlogInfo,RECV,
10381,commUIntUIntUShort,RECV,
10382,iconStruct,RECV,
10383,itemDataStructDaoBing,RECV,
10384,travelingData,RECV,
10385,secretSceneBomb,RECV,
10386,commUCharUShortUChar,RECV,
10387,commIntIntUCharUChar,RECV,
10388,tanbaogeShouTongItem,RECV,
10389,lundaodahuiGuessMsg,RECV,
10390,backMountainInfo,RECV,
10391,effectDataStructBackArea,RECV,
10392,eventTypeData,RECV,
10393,eventTypeData_1,RECV,
10394,,RECV,
10395,,RECV,
10396,,RECV,
10397,,RECV,
10398,,RECV,
10399,eventTypeData_2,RECV,
10400,eventTypeData_2_X,RECV,
10401,fazeTuJian,RECV,
10403,xfwdThreeInfo,RECV,
10404,xfwdRankInfo,RECV,
10405,xfwdRecordInfo,RECV,
10406,xfwdMatchInfo,RECV,
10409,clientFight21,RECV,
10410,serverFight21,RECV,
10411,xfwdTopInfo,RECV,
10412,xfwdSessionInfo,RECV,
10413,xfwdHisInfo,RECV,
10414,itemDataStructFaBaoYuanPei,RECV,
10416,serverTeam12,RECV,
10418,serverTeam13,RECV,
10419,xmdgBuyRecord,RECV,
10420,xmdigongRoom,RECV,
10421,xmdigongEvent,RECV,
10422,xmdigongMember,RECV,
10423,xmdigongDisciple,RECV,
10424,xmdigongEventDisciple,RECV,
10425,clientFight22,RECV,
10426,serverFight22,RECV,
10427,xmdgAuctionItem,RECV,
10428,xmdgRankData,RECV,
10429,xmdgAuctionRecord,RECV,
10431,constructStruct,RECV,
10432,constructStructBuild,RECV,
10433,constructStructMove,RECV,
10434,constructStructRoad,RECV,
10435,constructStructRebuild,RECV,
10436,clientBuildCreate,RECV,
10437,clientBuildMove,RECV,
10438,clientRoadCreate,RECV,
10439,clientBuildRebuild,RECV,
10440,xmdgAuctionItem2,RECV,
10441,guildMemberWSItem,RECV,
10442,xmdigongMsgItem,RECV,
10443,xmdgAuctionGain,RECV,
10444,effectDataStructCBG1,RECV,
10445,effectDataStructCBG2,RECV,
10446,cbgRecordInfo,RECV,
10447,dbgActTask,RECV,
10448,xmdigongReqItem113,RECV,
10449,xmdigongRetItem116,RECV,
10450,commUCharUCharUCharUInt,RECV,
10451,fxgzNumInfo,RECV,
10452,fxgzRankInfo,RECV,
10453,trainTowerTagItem,RECV,
10454,itemDataStructCatch,RECV,
10455,ylcPosInfo,RECV,
10456,ylcInfo,RECV,
10457,ylcBookInfo,RECV,
10458,ylcGoodsInfo,RECV,
10459,xianjifudiItem,RECV,
10460,xianjifudiLayer,RECV,
10461,xtType1Info,RECV,
10462,xtType2Info,RECV,
10463,xtType3Info,RECV,
10464,xtTaskKey,RECV,
10465,xtRecvInfo,RECV,
10466,xtReviewInfo,RECV,
10467,ylcSizeInfo,RECV,
10469,clientTeam14,RECV,
10470,serverTeam14,RECV,
10471,taskStoreInfo,RECV,
10472,catInfo,RECV,
10473,itemDataStructCat,RECV,
10474,catChannelInfo,RECV,
10475,commUIntUIntString,RECV,
10476,yiyuhuiyouWeekRankItem,RECV,
10477,catUpdateInfo,RECV,
10480,rankList,RECV,
10481,rankItem1,RECV,
10482,rankList1,RECV,
10487,rankItem4,RECV,
10488,rankList4,RECV,
10489,rankItem5,RECV,
10490,rankList5,RECV,
10491,rankItem6,RECV,
10492,rankList6,RECV,
10493,yctbGrid,RECV,
10494,yctbRank,RECV,
10495,yctbGift,RECV,
10496,clientTeam3,RECV,
10497,clientTeam4,RECV,
10498,commUCharUShortInt64,RECV,
10499,eventListData,RECV,
10500,pEffect,RECV,
10501,lqgGuidStruct,RECV,
10502,lqgBatchStruct,RECV,
10503,lqgIdStruct,RECV,
10504,lqgBatchData,RECV,
10505,effectDataStructLQG,RECV,
10506,effectDataStructExpOverFlow,RECV,
10507,ieiStruct,RECV,
10508,clientFight23,RECV,
10509,serverFight23,RECV,
10510,qiyuClient4,RECV,
10511,lxwjRankInfo,RECV,
10512,lxwjSessionInfo,RECV,
10513,lxwjHisInfo,RECV,
10514,commUCharUCharInt64,RECV,
10515,lxwjMatchRankInfo,RECV,
10516,lxwjRecordInfo,RECV,
10517,clientFight24,RECV,
10518,serverFight24,RECV,
10519,clientTeam15,RECV,
10520,serverTeam15,RECV,
10521,clientTeam16,RECV,
10522,serverTeam16,RECV,
10523,lxwjReadyInfo,RECV,
10524,lxwjBattleZYInfo,RECV,
10525,lxwjTextInfo,RECV,
10526,lxwjRecordItem,RECV,
10527,lxwjRecordItemZY,RECV,
10528,lxwjRecordItemWJ,RECV,
10529,lddhGuessRecord,RECV,
10530,commUShortFloatUChar,RECV,
10531,dftCanSaiInfo,RECV,
10532,guildAskForItem,RECV,
10533,qiyuEndItem4,RECV,
10534,lxwjMemberInfo,RECV,
10535,dfBatchStruct,RECV,
10536,dfBatchData,RECV,
10537,lxwjBattleWJInfo,RECV,
10538,effectDataStructDanFang,RECV,
10539,clientFight25,RECV,
10540,serverFight25,RECV,
10541,lingzhenItem,RECV,
10542,lingzhenKong,RECV,
10543,itemDataStructLingZhen,RECV,
10544,layOutInfo,RECV,
10545,secretSceneEntityComm,RECV,
10546,secretSceneEntityMon,RECV,
10547,secretSceneEntityDefault,RECV,
10548,effectDataStructGXHD,RECV,
10549,targetTask2,RECV,
10550,lxwjTopInfo,RECV,
10551,produceInfo,RECV,
10552,effectDataStructTTSL,RECV,
10553,itemDataStructDress,RECV,
10554,templeData,RECV,
10555,clientFight27,RECV,
10556,serverFight27,RECV,
10557,puzzleTask,RECV,
10558,guildHelpItem,RECV,
10559,guildHelpStruct,RECV,
10560,effectDataStructDress,RECV,
10561,hoardInfo,RECV,
10562,hoardPosInfo,RECV,
10563,tiantianFanLi,RECV,
10564,rankAct1Info,RECV,
10565,tmrqAim,RECV,
10566,tmrqAim2,RECV,
10567,tmrqMB,RECV,
10568,tmrqRank1,RECV,
10569,tmrqRank2,RECV,
10570,effectDataStructTMRQ2,RECV,
10571,clientFight28,RECV,
10572,serverFight28,RECV,
10573,clientFight29,RECV,
10574,serverFight29,RECV,
10575,effectDataStructTMRQ3,RECV,
10576,zhentuUnlockItem,RECV,
10577,zhentuUnlockItemComm,RECV,
10578,zhentuUnlockItemType2,RECV,
10579,effectDataStructTMBX,RECV,
10580,yqmInviteInfo,RECV,
10581,qdqdDayItem,RECV,
10582,tgslBossInfo,RECV,
10583,tgslRankInfo,RECV,
10585,clientFight30,RECV,
10586,serverFight30,RECV,
10587,freeGift,RECV,
10588,freeGift1,RECV,
10589,freeGift234,RECV,
10590,commUShortUShortUInt,RECV,
10591,catLvExpRandProp,RECV,
10592,lotteryRecord,RECV,
10593,effectDataStructLZPZ,RECV,
10594,collectInfo,RECV,
10595,zzshGuildInfo,RECV,
10596,zzshDomainInfo,RECV,
10598,zzshHisInfo,RECV,
10599,zzshGuidItem,RECV,
10600,zzshPVPDisciple,RECV,
10601,zzshTeamOwner,RECV,
10602,zzshTeamDetail,RECV,
10603,zzshTeamInfo,RECV,
10604,catDropInfo,RECV,
10605,commIntIntUChar,RECV,
10606,catJwDropInfo,RECV,
10607,yxlData,RECV,
10608,serverFight31,RECV,
10609,templePrizeData,RECV,
10610,zzshFightInfo,RECV,
10611,zzshAttackInfo,RECV,
10612,zzshPVPTarget,RECV,
10613,clientFight34,RECV,
10614,serverFight34,RECV,
10615,templeRank,RECV,
10616,templeRecord,RECV,
10617,templeStar,RECV,
10618,templeRecord2,RECV,
10619,clientTeam17,RECV,
10620,serverTeam17,RECV,
10621,commUShortString,RECV,
10622,threeRank,RECV,
10623,qiyuClient5,RECV,
10624,ccMiJingItem,RECV,
10625,xmdgBossRankItem,RECV,
10626,skyscgbItem,RECV,
10627,clientRecv,RECV,
10628,serverRecv,RECV,
10629,clientRecv1,RECV,
10630,serverRecv1,RECV,
10631,clientRecv2,RECV,
10632,serverRecv2,RECV,
10633,clientRecv3,RECV,
10634,serverRecv3,RECV,
10635,clientRecv4,RECV,
10636,serverRecv4,RECV,
10637,skyBuildInfo,RECV,
10638,zzshInformation,RECV,
10639,zzshInformation1,RECV,
10640,zzshInformation2,RECV,
10641,zzshYSMass,RECV,
10643,zzshLog,RECV,
10644,zzshYSTeam,RECV,
10645,zzshBDTeam,RECV,
10646,xmtqInfo,RECV,
10647,commIntIntIntIntInt,RECV,
10648,effectDataStructPuzzle,RECV,
10649,xgpdTask,RECV,
10650,xgpdHisItem,RECV,
10651,myRankItem,RECV,
10652,xtzmYLDZ,RECV,
10653,discipleShow,RECV,
10654,xtzmYlInfo,RECV,
10655,serverFight35,RECV,
10656,zzshPVETarget,RECV,
10657,achieveItem,RECV,
10658,xmjuanxian,RECV,
10659,zzshPVEDisciple,RECV,
10660,zzshMassDetail,RECV,
10661,zzshLogMassDetail,RECV,
10662,xmjuanxianlog,RECV,
10663,zzshInfoTeam,RECV,
10664,zzshYSDamage,RECV,
10665,clientFight36,RECV,
10666,serverFight36,RECV,
10667,fyslBossInfo,RECV,
10668,fyslRankInfo,RECV,
10669,stockData,RECV,
10670,actorStockData,RECV,
10671,shangHangRankData,RECV,
10672,sfBuild,RECV,
10673,commIntShortString,RECV,
10674,lingzhendkInfo,RECV,
10675,specialityType6,RECV,
10676,specialityListType6,RECV,
10677,specialityStructType6,RECV,
10678,xianzhanKeShang,RECV,
10679,xianzhanJsBuff,RECV,
10680,hsZhenLingItem,RECV,
10681,tmzlData,RECV,
10682,clientFight37,RECV,
10683,serverFight37,RECV,
10684,commIntIntIntIntIntInt,RECV,
10685,gtxxTask,RECV,
10686,gtxxLiBao,RECV,
10687,effectDataStructHSZLSD,RECV,
10688,qiyuClient6,RECV,
10689,zhmInviteInfo,RECV,
10690,zzshBDGather,RECV,
10691,tbgzxItem,RECV,
10692,zzshScoreRank,RECV,
10693,zzshTimesRank1,RECV,
10694,zzshTimesRank2,RECV,
10695,zzshTimesRank3,RECV,
10696,clientFight38,RECV,
10697,serverFight38,RECV,
10698,zzshLogFightDetail,RECV,
10699,clientTeam18,RECV,
10700,serverTeam18,RECV,
10701,commUCharInt64Int64,RECV,
10702,hcjDataStruct,RECV,
10703,hcjEventStruct,RECV,
10705,commStringUInt,RECV,
10706,hcjRankItem,RECV,
10707,freeGift5,RECV,
10709,rankItem9,RECV,
10710,rankList9,RECV,
10711,rankItem10,RECV,
10712,rankList10,RECV,
10713,hcjStruct,RECV,
10714,yufumbtask,RECV,
10715,demonsPoints,RECV,
10716,clientFight39,RECV,
10717,serverFight39,RECV,
10718,commUIntInt64Int64,RECV,
10719,qiyuClient7,RECV,
10720,daolvDongfuData,RECV,
10721,commInt64UCharUChar,RECV,
10722,commUIntInt64Int64UChar,RECV,
10723,specialityType7,RECV,
10724,specialityListType7,RECV,
10725,specialityStructType7,RECV,
10726,xtzmAttackInfo,RECV,
10727,commUCharString,RECV,
10728,commInt64UCharUCharUChar,RECV,
10729,yflzhcItem,RECV,
10730,commUIntUCharUIntInt64String,RECV,
10731,csjdRound,RECV,
10732,csjdRound1,RECV,
10733,csjdRound2,RECV,
10734,csjdRound3,RECV,
10735,csjdRound4,RECV,
10736,csjdRound5,RECV,
10737,csjdRound6,RECV,
10738,serverFight40,RECV,
10739,passportItem,RECV,
10740,passport,RECV,
10741,passport1,RECV,
10742,feiShengData,RECV,
10743,treasureData,RECV,
10744,passport2,RECV,
10745,clientFight40,RECV,
10746,serverFight41,RECV,
10747,effectDataStructTuFa,RECV,
10748,"catEntrustState(已弃用,可修改)",RECV,
10749,yfltGeZiData,RECV,
10750,sectActTasks,RECV,
10751,catEntrustData,RECV,
10752,secretSceneTrap,RECV,
10753,catEntrustMiscData,RECV,
10754,commUIntStringUInt,RECV,
10755,flEntity,RECV,
10756,flEntityActor,RECV,
10757,flEntityGuild,RECV,
10758,flEntityMonster,RECV,
10759,flEntityBoss,RECV,
10760,flMarch,RECV,
10761,flMarchKill,RECV,
10762,flMarchSpy,RECV,
10763,flMarchStation,RECV,
10764,flEntityStation,RECV,
10773,commUIntFloat,RECV,
10774,commUIntChar,RECV,
10775,flCloud,RECV,
10776,fyslBossInfo2,RECV,
10777,kfrankInfo,RECV,
10778,nowFubenInfo,RECV,
10780,czzxitem,RECV,
10781,tmjTM,RECV,
10783,clientFight44,RECV,
10784,serverFight44,RECV,
10785,tmjHelp,RECV,
10786,tmjRecord,RECV,
10787,zzshReadyTeam,RECV,
10788,airAchieve,RECV,
10789,clientFight45,RECV,
10790,serverFight45,RECV,
10791,qiyuClient8,RECV,
10792,disciplespebookActiveStruct,RECV,
10793,commIntInt64,RECV,
10794,wdcqzbRoom,RECV,
10795,wdcqrdRank,RECV,
10796,wdcqRivalInfo,RECV,
10797,wdcqBigGroupInfo,RECV,
10798,wdcqRoundInfo,RECV,
10799,clientRecv5,RECV,
10800,serverRecv5,RECV,
10801,clientCancel,RECV,
10802,clientCancelCommon,RECV,
10803,serverCancel,RECV,
10804,serverCancelCommon,RECV,
10805,clientFight47,RECV,
10806,serverFight47,RECV,
10807,treasureTrainningBounty,RECV,
10808,effectDataStructTMBX2,RECV,
10809,flTeamInfo,RECV,
10810,wxgxmCnt,RECV,
10811,flLog,RECV,
10813,commUCharUIntUIntUShort,RECV,
10814,recordLottery7,RECV,
10815,piSubList,RECV,
10817,ylzBuild,RECV,
10818,commUCharUCharUInt,RECV,
10819,clientTeam19,RECV,
10820,serverTeam19,RECV,
10821,flMarchBack,RECV,
10822,wdcqRankInfo,RECV,
10823,guildCooperation,RECV,
10824,xianjiexstwptask,RECV,
10825,flMass,RECV,
10827,flMarchAssist,RECV,
10828,flAssistList,RECV,
10829,flEntityStronghold,RECV,
10830,flMarchMassGather,RECV,
10831,flMarchMassGo,RECV,
10832,wdqchxPosInfo,RECV,
10833,wdqchxGroupInfo,RECV,
10834,wdqchxLogInfo,RECV,
10836,commUShortUShortInt64,RECV,
10838,resourceItem,RECV,
10839,serverFight48,RECV,
10840,clientFight48,RECV,
10847,xianguanData,RECV,
10848,qiyuClient9,RECV,
10849,srcResourceData,RECV,
10850,srcResourceData1,RECV,
10851,srcResourceData2,RECV,
10852,resourceClientData,RECV,
10853,clientFight49,RECV,
10854,serverFight49,RECV,
10855,flDisciple,RECV,
10856,flReadyTeam,RECV,
10857,commUShortStringUInt,RECV,
10858,commUShortUCharUChar,RECV,
10859,commUShortUCharUCharUChar,RECV,
10860,boatStruct,RECV,
10861,flBoatInfo,RECV,
10862,flMassDetail,RECV,
10863,xtzmtzItem,RECV,
10864,flMassTeam,RECV,
10865,flBuffInfo,RECV,
10866,flAttackInfo,RECV,
10867,flMarchAttack,RECV,
10868,xianbangtask,RECV,
10869,srcResourceData4,RECV,
10870,itemDataStructStars,RECV,
10872,serverTeam20,RECV,
10873,clientTeam21,RECV,
10874,serverTeam21,RECV,
10875,flMarchCarry,RECV,
10877,ltywLeiTai,RECV,
10878,ltywRank1,RECV,
10879,ltywRank2,RECV,
10880,ltywRank3,RECV,
10881,ltywLog,RECV,
10882,ltywZhuJun,RECV,
10883,seasonChapterStruct,RECV,
10884,seasonChapterStructX,RECV,
10885,seasonChapterStruct4,RECV,
10886,seasonInfo,RECV,
10887,ltywXingJun,RECV,
10888,itemDataStructBoat,RECV,
10889,ltywZhanSun,RECV,
10890,flLogAssistData,RECV,
10891,fairylandFixBuild,RECV,
10892,fairylandFixBuildLog,RECV,
10893,seasonChapterActorRank,RECV,
10894,seasonChapterGuildRank,RECV,
10895,commUCharChar,RECV,
10896,effectDataFairyLandBoss,RECV,
10897,flTeam,RECV,
10898,ltywMassDetail,RECV,
10899,ltywZhunJunDisciple,RECV,
10900,guildBoxItem,RECV,
10901,flGuideActor,RECV,
10902,hechengLingZhen,RECV,
10904,electionRecordItem,RECV,
10905,settleItem,RECV,
10906,electionBattleInfo,RECV,
10907,electionFightData,RECV,
10908,electionAttendInfo,RECV,
10909,settingStruct,RECV,
10910,electionBattleInfo2,RECV,
10911,itemDataStructItem,RECV,
10912,xgtqStruct,RECV,
10913,xgtqStruct1,RECV,
10914,effectDataStructHSZLSD2,RECV,
10915,effectDataStructAssistant,RECV,
10916,xgtqLog,RECV,
10917,xingyuTeam,RECV,
10918,xingyuItem,RECV,
10919,xingyuLog,RECV,
10920,xingyuReward,RECV,
10921,xingyuHunZhan,RECV,
10922,xingyuZhengDuoZhan,RECV,
10923,xingyuZDZItem,RECV,
10924,xgtqStruct3,RECV,
10925,xingyuTeamSet,RECV,
10926,caishenjiadaoHongBao,RECV,
10927,commUIntUCharUShort,RECV,
10928,effectDataStructLTYW,RECV,
10929,xingyuDisciple,RECV,
10930,commUShortChar,RECV,
10931,djxdExpChange,RECV,
10932,targetactivity5data,RECV,
10933,flGuildFlag,RECV,
10934,xyryStruct,RECV,
10935,xgtqStruct2,RECV,
10936,itemDataStructVocEquip,RECV,
